,Date,Time,Crime,Location,Building
600,06/01/2022,16:34,STOLEN ITEMS,PGP,TECH CTR FOR OFFSHORE & MARINE
601,07/10/2023,14:10,DAMAGED PROPERTY,CDE,T-LAB CARPARK
602,11/12/2022,11:37,LOST AND FOUND,YIH,YUSOF ISHAK HOUSE
603,05/09/2022,18:18,EMERGENCY INCIDENTS,YIH,RIDGE VIEW TOWER BLK (RVF)
604,25/06/2022,23:41,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 15)
605,11/02/2022,17:13,DAMAGED PROPERTY,YIH,RAFFLES HALL (BLOCK A)
606,19/09/2023,5:54,EMERGENCY INCIDENTS,UCC,DECOM SUB-STATION 1 (NEAR LKCNHM)
607,12/01/2022,1:43,LOST AND FOUND,KR,10 KR BUNGALOW
608,13/09/2022,13:59,LOST AND FOUND,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
609,03/05/2023,13:45,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 11)
610,06/11/2022,4:09,EMERGENCY INCIDENTS,FOS,MEDICINE + SCIENCE LIBRARY
611,09/06/2023,3:34,STOLEN ITEMS,CDE,ENGINEERING WORKSHOP 1A
612,12/05/2022,5:37,DAMAGED PROPERTY,PGP,CRISP (NEAR KEVII HALL)
613,02/11/2022,20:20,LOST AND FOUND,FASS,LECTURE THEATRE 11
614,09/03/2022,23:07,SEXUAL INCIDENTS,PGP,PGP RESIDENCES (BLOCK 10)
615,09/09/2023,12:01,EMERGENCY INCIDENTS,BIZ,HON SUI SEN MEMORIAL LIBRARY
616,21/10/2023,23:11,DAMAGED PROPERTY,UTown,TEMBUSU COLLEGE- MAIN BLK
617,15/02/2023,22:32,DAMAGED PROPERTY,HALL,EUSOFF HALL (BLOCK B)
618,26/12/2022,11:10,LOST AND FOUND,BIZ,SHAW FOUNDATION ALUMNI HOUSE
619,03/10/2023,10:01,STOLEN ITEMS,YIH,KUOK FOUNDATION HOUSE
620,17/08/2023,13:27,DAMAGED PROPERTY,FASS,LECTURE THEATRE 10
621,19/11/2022,1:29,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 4
622,24/11/2022,1:40,SEXUAL INCIDENTS,HALL,KENT RIDGE HALL (BLOCK D)
623,24/02/2023,9:22,SEXUAL INCIDENTS,SOC,LECTURE THEATRE 14
624,30/04/2023,3:42,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 14)
625,16/08/2022,4:43,DAMAGED PROPERTY,CDE,INFORMATION TECHNOLOGY
626,19/05/2022,6:07,LOST AND FOUND,PGP,INNOVATION 4.0
627,09/07/2023,15:01,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK G)
628,03/07/2022,19:53,EMERGENCY INCIDENTS,CDE,CANTEEN 1 (TECHNO EDGE)
629,30/06/2022,19:44,EMERGENCY INCIDENTS,PGP,2 PGP BUNGALOW
630,25/06/2023,22:29,DAMAGED PROPERTY,YIH,UNIVERSITY HALL
631,04/07/2023,21:30,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 8)
632,05/06/2022,18:33,LOST AND FOUND,FOS,NUHS TOWER BLOCK
633,21/04/2022,22:33,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK H, 117"
634,04/06/2023,8:18,EMERGENCY INCIDENTS,FOS,MEDICINE BLOCK 7
635,27/02/2023,18:39,LOST AND FOUND,BTC,18 EVANS BUNGALOW
636,30/03/2022,9:24,LOST AND FOUND,PGP,TECH CTR FOR OFFSHORE & MARINE
637,22/01/2023,18:39,DAMAGED PROPERTY,PGP,CRISP (NEAR KEVII HALL)
638,11/10/2022,20:57,EMERGENCY INCIDENTS,UTown,RESIDENT COLLEGE 4 -MPH
639,22/01/2022,18:00,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 3)
640,27/12/2022,11:24,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 3
641,27/07/2023,21:33,DAMAGED PROPERTY,FOS,MEDICINE BLOCK 2
642,19/09/2022,22:28,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 30)
643,07/08/2022,8:19,STOLEN ITEMS,KR,SEA-TO-SPACE (18KR BUNGALOW)
644,13/04/2023,17:24,DAMAGED PROPERTY,BTC,16 EVANS BUNGALOW
645,24/02/2022,3:21,DAMAGED PROPERTY,FOS,LECTURE THEATRE 26
646,17/09/2022,12:20,LOST AND FOUND,PGP,CRISP (NEAR KEVII HALL)
647,27/08/2023,21:25,LOST AND FOUND,PGP,CRISP (NEAR KEVII HALL)
648,25/07/2022,11:04,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 20)
649,12/07/2022,12:06,LOST AND FOUND,BTC,BTC-EU TONG SEN
650,13/08/2023,23:57,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 4
651,13/07/2023,5:13,STOLEN ITEMS,HALL,TEMASEK HALL (BLOCK C)
652,03/03/2023,16:47,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 18)
653,20/08/2023,18:14,LOST AND FOUND,UCC,DECOM SUB-STATION 1 (NEAR LKCNHM)
654,14/07/2022,6:55,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 28)
655,07/11/2022,5:51,DAMAGED PROPERTY,PGP,INNOVATION 4.0
656,09/05/2023,4:48,LOST AND FOUND,FOS,MEDICINE BLOCK 9
657,25/03/2023,5:53,EMERGENCY INCIDENTS,KR,12A KR BUNGALOW
658,23/07/2023,22:49,EMERGENCY INCIDENTS,UTown,YALE DINNING SERVICES
659,23/02/2022,10:33,LOST AND FOUND,HMKT,HENG MUI KENG TERRACE BLOCK B
660,22/05/2022,7:30,LOST AND FOUND,YIH,YUSOF ISHAK HOUSE
661,22/06/2022,14:55,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK D)
662,04/09/2022,9:24,EMERGENCY INCIDENTS,KR,5 KR BUNGALOW
663,27/05/2022,21:27,DAMAGED PROPERTY,UCC,YST CONSERVATORY OF MUSIC
664,10/07/2022,11:20,STOLEN ITEMS,PGP,PGP RESIDENCES (BLOCK 8)
665,08/09/2022,4:22,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 16)
666,27/06/2022,18:24,LOST AND FOUND,FOS,SCIENCE BLOCK 4A
667,20/04/2023,13:06,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (BLOCK E)
668,12/01/2023,20:07,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 20
669,15/09/2022,7:25,STOLEN ITEMS,KR,1 KR BUNGALOW
670,01/05/2023,16:28,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK B)
671,16/02/2023,16:19,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 3
672,02/10/2022,3:42,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 2
673,08/10/2023,22:58,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
674,03/06/2023,7:39,LOST AND FOUND,CDE,LECTURE THEATRE 7A
675,12/11/2022,4:55,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 3
676,05/02/2022,17:33,LOST AND FOUND,PGP,PGP RESIDENCES LECTURE THEATRE
677,24/01/2023,6:13,LOST AND FOUND,HALL,HOUSE 5 ANNEX
678,20/01/2022,2:05,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 2
679,21/02/2023,6:23,STOLEN ITEMS,FOS,LECTURE THEATRE 28
680,08/01/2023,1:30,EMERGENCY INCIDENTS,UTown,CINNAMON LEARN LOBE
681,25/06/2023,5:03,EMERGENCY INCIDENTS,HALL,EUSOFF HALL (BLOCK D)
682,28/12/2022,15:25,EMERGENCY INCIDENTS,HALL,KENT RIDGE HALL (BLOCK A)
683,27/11/2022,20:20,LOST AND FOUND,BTC,BTC-EU TONG SEN
684,31/10/2022,14:21,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 27)
685,16/01/2022,8:27,LOST AND FOUND,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
686,16/02/2022,16:28,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 8
687,02/09/2022,8:23,LOST AND FOUND,HALL,SHEARES HALL (BLOCK A)
688,02/04/2023,14:15,SEXUAL INCIDENTS,YIH,MULTI-PURPOSE HALL 1 - 4
689,21/02/2022,0:00,LOST AND FOUND,FOS,NUHS-MAIN BUILDING
690,20/10/2022,15:23,LOST AND FOUND,CDE,DESIGN & ENVIRONMENT BLOCK 2
691,13/01/2022,0:40,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 2A (EDIC)
692,22/03/2022,7:40,LOST AND FOUND,PGP,KE VII HALL (BLOCK G)
693,05/02/2022,17:02,DAMAGED PROPERTY,CDE,CTR FOR ENGLISH LANGUAGE COMMUNICATION
694,17/08/2022,14:54,LOST AND FOUND,PGP,17 PGP BUNGALOW
695,07/06/2022,19:24,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 16
696,06/11/2022,19:53,DAMAGED PROPERTY,UTown,CREATE (RESEARCH)
697,19/04/2023,23:34,DAMAGED PROPERTY,FOS,NUHS-MAIN BUILDING
698,15/01/2023,1:16,LOST AND FOUND,CDE,ENGINEERING BLOCK A
699,12/04/2022,16:23,EMERGENCY INCIDENTS,HALL,TEMASEK HALL (BLOCK C)
700,16/08/2022,15:57,EMERGENCY INCIDENTS,FOS,NUHS TOWER BLOCK
701,22/12/2022,12:28,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 5
702,07/06/2023,8:34,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 11
703,04/01/2023,15:03,DAMAGED PROPERTY,FOS,LECTURE THEATRE 28
704,29/04/2022,18:49,SEXUAL INCIDENTS,PGP,KE VII HALL (BLOCK C)
705,15/04/2022,15:10,DAMAGED PROPERTY,FOS,LECTURE THEATRE 26
706,16/05/2022,0:27,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK E)
707,31/12/2022,14:19,DAMAGED PROPERTY,CDE,LECTURE THEATRE 1
708,03/08/2023,4:38,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 14)
709,23/11/2022,0:46,SEXUAL INCIDENTS,FOS,LECTURE THEATRE 33
710,22/02/2023,2:08,EMERGENCY INCIDENTS,SOC,COMPUTING BLOCK 1
711,13/01/2023,5:26,EMERGENCY INCIDENTS,BTC,BTC-TOWER BLOCK
712,18/04/2022,21:01,DAMAGED PROPERTY,HALL,TEMASEK HALL (BLOCK E)
713,13/08/2022,15:53,EMERGENCY INCIDENTS,PGP,PGPR CARPARK
714,10/06/2023,9:27,EMERGENCY INCIDENTS,CDE,DESIGN & ENVIRONMENT BLOCK 2
715,29/01/2022,7:20,EMERGENCY INCIDENTS,YIH,UNIVERSITY HALL
716,04/02/2023,15:09,LOST AND FOUND,UTown,EDUCATION RESOURCE CENTRE
717,22/05/2022,21:42,LOST AND FOUND,BIZ,BUSINESS BLOCK 1-MOCHTAR RIADY
718,19/12/2022,22:25,STOLEN ITEMS,PGP,PGP RESIDENCES (BLOCK 4)
719,27/03/2023,2:59,EMERGENCY INCIDENTS,FOS,MEDICINE BLOCK 10
720,19/02/2023,22:59,STOLEN ITEMS,YIH,UNIVERSITY HALL
721,14/02/2023,13:50,DAMAGED PROPERTY,CDE,DESIGN & ENVIRONMENT BLOCK 3
722,07/08/2022,23:09,LOST AND FOUND,CDE,ENGINEERING BLOCK 6
723,09/03/2023,9:07,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 16
724,18/05/2023,19:32,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 10)
725,20/11/2022,6:33,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 15
726,11/08/2023,20:45,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 12)
727,03/02/2022,19:18,LOST AND FOUND,CDE,T-LAB CARPARK
728,15/06/2023,18:59,LOST AND FOUND,UTown,SRC CARPARK
729,06/01/2023,5:20,EMERGENCY INCIDENTS,KV,COMMUNAL BLK B
730,12/07/2022,10:28,STOLEN ITEMS,HALL,SHEARES HALL (BLOCK B)
731,22/05/2023,3:04,DAMAGED PROPERTY,KR,11 KR BUNGALOW
732,01/06/2023,19:00,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 20)
733,12/07/2023,0:59,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 8)
734,28/08/2023,22:52,EMERGENCY INCIDENTS,BTC,BTC-CJ KOH LIBRARY
735,12/09/2022,10:40,EMERGENCY INCIDENTS,KV,"COMMUNAL BLK A, 121"
736,26/07/2022,19:12,DAMAGED PROPERTY,CDE,LECTURE THEATRE 4
737,22/08/2023,17:21,DAMAGED PROPERTY,FOS,LECTURE THEATRE 26
738,16/02/2023,1:58,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (COMMUNAL HALL)
739,01/07/2022,7:13,LOST AND FOUND,HALL,INSTITUTE OF SYSTEMS SCIENCE
740,30/10/2022,17:46,STOLEN ITEMS,FOS,SCIENCE BLOCK 13
741,30/05/2022,9:11,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 3
742,22/08/2023,7:45,DAMAGED PROPERTY,BTC,BTC-FEDERAL
743,23/05/2023,1:47,EMERGENCY INCIDENTS,DNMS,DNMS CARPARK
744,10/07/2022,19:37,DAMAGED PROPERTY,FOS,LECTURE THEATRE 37
745,19/03/2022,0:37,LOST AND FOUND,PGP,PGP RESIDENCES CANTEEN 2
746,28/08/2022,11:32,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 4
747,31/07/2023,19:53,LOST AND FOUND,FOS,SCIENCE BLOCK 8
748,18/06/2022,15:48,LOST AND FOUND,YIH,UNIVERSITY HALL
749,15/05/2023,9:21,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK C, 111"
750,30/04/2023,16:22,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 17)
751,23/11/2022,14:05,STOLEN ITEMS,PGP,PGP RESIDENCES (BLOCK 10)
752,14/08/2022,1:29,EMERGENCY INCIDENTS,FOS,CTR FOR LIFE SCIENCES
753,16/08/2023,22:37,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK C)
754,02/06/2023,19:28,EMERGENCY INCIDENTS,UTown,CREATE (RESEARCH)
755,05/11/2022,14:42,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 2
756,22/02/2023,11:57,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 14
757,27/06/2022,17:08,DAMAGED PROPERTY,YIH,RAFFLES HALL (COMMUNAL HALL)
758,29/07/2023,11:33,DAMAGED PROPERTY,SOC,LECTURE THEATRE 18
759,14/08/2022,22:01,LOST AND FOUND,CDE,ENGINEERING BLOCK 3
760,01/11/2022,13:30,LOST AND FOUND,HALL,HOUSE 5 ANNEX
761,29/03/2023,11:13,LOST AND FOUND,HALL,SHEARES HALL (COMMUNAL HALL)
762,16/06/2023,2:49,DAMAGED PROPERTY,FOS,MEDICINE BLOCK 2
763,06/04/2022,10:51,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK G, 115"
764,11/07/2022,9:41,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK C, 111"
765,18/08/2023,7:33,STOLEN ITEMS,CDE,T-LAB CARPARK
766,18/04/2022,19:25,DAMAGED PROPERTY,CDE,CANTEEN 1 (TECHNO EDGE)
767,20/11/2022,13:53,LOST AND FOUND,BTC,BTC-EU TONG SEN
768,16/03/2022,9:12,DAMAGED PROPERTY,KV,SUB-STATION/BIN CENTRE
769,09/04/2023,12:16,EMERGENCY INCIDENTS,HALL,KENT RIDGE HALL (BLOCK D)
770,17/03/2022,0:18,EMERGENCY INCIDENTS,BTC,BTC-FEDERAL
771,03/04/2023,10:06,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 21
772,27/11/2022,7:11,DAMAGED PROPERTY,YIH,MULTI-PURPOSE HALL 5 & 6
773,05/09/2022,17:57,LOST AND FOUND,PGP,14A PGP BUNGALOW
774,06/08/2023,10:22,SEXUAL INCIDENTS,FOS,MEDICINE BLOCK 7
775,12/09/2022,16:25,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 8)
776,27/06/2022,18:42,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
777,19/09/2023,11:37,EMERGENCY INCIDENTS,HALL,EUSOFF HALL (BLOCK A)
778,05/11/2022,20:46,SEXUAL INCIDENTS,PGP,PGP RESIDENCES (BLOCK 16)
779,25/03/2022,4:26,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK D)
780,15/11/2022,0:37,LOST AND FOUND,UTown,TEMBUSU COLLEGE- MAIN BLK
781,21/02/2023,16:06,LOST AND FOUND,FOS,MEDICINE BLOCK 3
782,21/05/2023,4:19,DAMAGED PROPERTY,CDE,INFORMATION TECHNOLOGY
783,14/06/2022,8:58,LOST AND FOUND,HALL,SHEARES HALL (BLOCK E)
784,13/06/2022,3:20,DAMAGED PROPERTY,YIH,RAFFLES HALL (COMMUNAL HALL)
785,10/03/2023,9:58,DAMAGED PROPERTY,KR,1 KR BUNGALOW
786,28/05/2023,2:38,STOLEN ITEMS,UTown,YALE SCIENCE BLOCK
787,04/03/2022,1:58,LOST AND FOUND,CDE,LECTURE THEATRE 6
788,12/05/2023,1:00,DAMAGED PROPERTY,HALL,KENT RIDGE (COMMUNAL HALL)
789,02/10/2022,16:17,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 5)
790,02/09/2023,16:16,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK C)
791,29/05/2022,9:47,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 13
792,12/04/2023,12:26,STOLEN ITEMS,YIH,UNIVERSITY HEALTH CENTRE
793,08/10/2023,17:40,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK B)
794,20/08/2023,9:26,DAMAGED PROPERTY,CDE,CTR FOR ENGLISH LANGUAGE COMMUNICATION
795,17/05/2022,10:56,EMERGENCY INCIDENTS,PGP,PGP BUS-STOP (OFFICE)
796,04/07/2023,1:17,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK E)
797,03/10/2022,8:26,SEXUAL INCIDENTS,UCC,NATIONAL SINGAPORE WIND TUNNEL
798,28/02/2023,21:11,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK G, 115"
799,20/12/2022,11:45,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK A)
800,09/04/2022,9:40,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK B)
801,02/08/2023,17:50,DAMAGED PROPERTY,UTown,CREATE (ENTERPRISE)
802,28/04/2022,1:05,DAMAGED PROPERTY,BTC,BTC-LECTURE THEATRE
803,26/06/2023,21:02,DAMAGED PROPERTY,YIH,UNIVERSITY HEALTH CENTRE
804,06/06/2022,22:22,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
805,03/03/2023,4:56,SEXUAL INCIDENTS,FOS,MEDICINE BLOCK 4
806,08/01/2023,15:27,SEXUAL INCIDENTS,CDE,LECTURE THEATRE 4
807,10/09/2023,17:57,EMERGENCY INCIDENTS,UTown,YALE EAST CORE
808,16/03/2022,16:54,STOLEN ITEMS,UTown,UTOWN RESIDENCE SOUTH-TOWER
809,22/12/2022,14:36,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 18)
810,17/10/2023,1:42,LOST AND FOUND,HALL,KENT RIDGE (COMMUNAL HALL)
811,19/05/2023,18:53,LOST AND FOUND,FOS,LECTURE THEATRE 34
812,22/08/2023,6:20,STOLEN ITEMS,YIH,MULTI-PURPOSE HALL 5 & 6
813,08/01/2023,10:48,STOLEN ITEMS,KV,"KENT VALE APARTMENT BLK E, 109"
814,01/10/2022,12:39,DAMAGED PROPERTY,PGP,STORE 1 (NEAR KEVII HALL)
815,06/06/2022,7:37,LOST AND FOUND,FOS,MD11 CARPARK
816,25/08/2022,1:17,DAMAGED PROPERTY,FOS,LECTURE THEATRE 28
817,11/10/2022,13:11,EMERGENCY INCIDENTS,FOS,MD BLK 1  (TAHIR FDN BLDG)
818,26/02/2023,12:43,DAMAGED PROPERTY,YIH,RIDGE VIEW TOWER BLK (RVF)
819,27/02/2023,0:36,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK B)
820,28/06/2022,10:34,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK A,103"
821,21/09/2022,18:09,DAMAGED PROPERTY,YIH,RAFFLES HALL (BLOCK B)
822,09/01/2022,9:02,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 16)
823,12/11/2022,8:49,DAMAGED PROPERTY,FOS,MEDICINE BLOCK 2
824,06/07/2022,15:29,EMERGENCY INCIDENTS,PGP,6 PGP BUNGALOW
825,03/11/2022,11:32,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK H, 117"
826,23/06/2023,16:54,DAMAGED PROPERTY,FOS,LT 27 (LIM SENG TJOE LECTURE)
827,21/10/2023,19:02,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK C)
828,09/07/2023,7:41,LOST AND FOUND,UTown,CREATE (RESEARCH)
829,13/09/2023,7:00,EMERGENCY INCIDENTS,YIH,UNIVERSITY HALL
830,13/01/2022,1:41,LOST AND FOUND,UTown,YALE DINNING SERVICES
831,10/09/2023,19:39,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK C)
832,22/05/2023,6:37,EMERGENCY INCIDENTS,PGP,14 PGP BUNGALOW
833,07/04/2023,5:55,EMERGENCY INCIDENTS,CDE,T-LAB CARPARK
834,11/09/2022,23:24,DAMAGED PROPERTY,BIZ,NUS ENTERPRISE-JTC BLK71
835,18/10/2023,7:58,DAMAGED PROPERTY,SOC,COMPUTING BLOCK 1
836,11/05/2023,23:53,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 28)
837,06/02/2023,11:25,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 8
838,08/06/2022,13:18,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 21)
839,31/05/2022,8:08,DAMAGED PROPERTY,KV,COMMUNAL BLK B
840,04/08/2022,12:58,STOLEN ITEMS,YIH,YUSOF ISHAK HOUSE
841,31/03/2023,2:14,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 34
842,30/08/2023,0:30,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 22)
843,15/09/2023,18:11,STOLEN ITEMS,BTC,BTC- MULTIPURPOSE AUDITORIUM
844,20/05/2023,23:08,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK A
845,07/05/2023,0:27,DAMAGED PROPERTY,FASS,CANTEEN 2 (THE DECK)
846,19/08/2023,4:32,DAMAGED PROPERTY,HALL,SHEARES HALL (COMMUNAL HALL)
847,07/07/2022,11:07,LOST AND FOUND,FOS,MD11 CARPARK
848,06/08/2022,13:05,EMERGENCY INCIDENTS,YIH,MULTI-PURPOSE HALL 1 - 4
849,15/09/2023,13:26,EMERGENCY INCIDENTS,PGP,PGPR CARPARK
850,08/04/2023,20:31,STOLEN ITEMS,SOC,ISS CARPARK
851,15/02/2023,16:30,EMERGENCY INCIDENTS,HALL,EUSOFF HALL (BLOCK A)
852,24/05/2023,21:36,LOST AND FOUND,CDE,LECTURE THEATRE 2
853,06/04/2023,18:50,LOST AND FOUND,UTown,TEMBUSU COLLEGE- MAIN BLK
854,01/02/2022,18:42,DAMAGED PROPERTY,KR,2 KR BUNGALOW
855,30/03/2022,3:25,LOST AND FOUND,HALL,SHEARES HALL (BLOCK A)
856,28/04/2022,16:12,STOLEN ITEMS,PGP,INNOVATION 4.0
857,13/08/2022,21:58,DAMAGED PROPERTY,FOS,SUB-STATION 3 (NEAR S13)
858,05/09/2022,6:58,DAMAGED PROPERTY,YIH,MULTI-PURPOSE HALL 5 & 6
859,14/09/2022,18:52,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (BLOCK A)
860,09/02/2022,9:10,DAMAGED PROPERTY,CDE,DESIGN & ENVIRONMENT BLOCK 4
861,17/05/2022,2:16,EMERGENCY INCIDENTS,BTC,BTC-TOWER BLOCK
862,13/02/2023,20:48,LOST AND FOUND,HALL,INSTITUTE OF SYSTEMS SCIENCE
863,03/10/2023,21:19,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 1
864,16/03/2022,20:44,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK C)
865,16/03/2022,15:31,EMERGENCY INCIDENTS,PGP,KE VII HALL (BLOCK D)
866,07/05/2022,19:17,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK C)
867,19/03/2023,1:31,SEXUAL INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK C)
868,17/11/2022,8:16,LOST AND FOUND,PGP,STORE 2 (NEAR KEVII HALL)
869,06/05/2022,0:38,DAMAGED PROPERTY,HALL,INSTITUTE OF SYSTEMS SCIENCE
870,08/08/2023,4:35,LOST AND FOUND,SOC,COMPUTING BLOCK 3
871,18/09/2022,15:10,DAMAGED PROPERTY,HALL,EUSOFF HALL (COMMUNAL HALL)
872,08/07/2023,15:12,EMERGENCY INCIDENTS,UTown,CREATE (RESEARCH)
873,26/06/2023,14:08,LOST AND FOUND,UTown,YALE SCIENCE BLOCK
874,04/04/2022,8:49,STOLEN ITEMS,DNMS,DUKE-NUS MEDSH-KHOOTECKPUAT BG
875,25/10/2022,18:44,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 29)
876,02/01/2023,14:01,EMERGENCY INCIDENTS,FOS,DSO CARPARK
877,24/09/2022,7:29,EMERGENCY INCIDENTS,UCC,NATIONAL SINGAPORE WIND TUNNEL
878,21/02/2022,17:08,LOST AND FOUND,FOS,NUHS TOWER BLOCK
879,06/08/2023,23:45,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 1)
880,10/11/2022,16:54,LOST AND FOUND,FOS,SCIENCE BLOCK 15
881,30/12/2022,5:54,DAMAGED PROPERTY,CDE,LECTURE THEATRE 2
882,09/04/2023,5:37,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK A)
883,07/02/2022,17:17,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 2
884,20/11/2022,23:18,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 2
885,20/02/2022,17:28,STOLEN ITEMS,FOS,SCIENCE BLOCK 5
886,17/01/2022,15:34,STOLEN ITEMS,FOS,MEDICINE BLOCK 3
887,08/09/2022,5:18,LOST AND FOUND,FOS,NUHS TOWER BLOCK
888,18/08/2022,23:46,DAMAGED PROPERTY,YIH,UNIVERSITY HALL
889,10/02/2023,5:54,LOST AND FOUND,FOS,FOS-RICE SHED C-NEXT TO S3&S4
890,07/12/2022,18:02,LOST AND FOUND,FOS,MEDICINE BLOCK 3
891,08/06/2023,2:51,LOST AND FOUND,HALL,SHEARES HALL (BLOCK D)
892,03/05/2023,10:12,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 11)
893,26/10/2022,15:22,LOST AND FOUND,PGP,14A PGP BUNGALOW
894,05/09/2022,16:41,LOST AND FOUND,UTown,DINNING HALL (C&T COLLEGE)
895,25/02/2022,9:46,EMERGENCY INCIDENTS,UCC,YST CONSERVATORY OF MUSIC
896,16/06/2023,21:32,STOLEN ITEMS,SOC,COMPUTING BLOCK 1
897,22/03/2022,1:38,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 11
898,10/03/2023,9:38,STOLEN ITEMS,HMKT,HENG MUI KENG TERRACE BLOCK B
